id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_385,Castello di Vicarello,1,Cinigiano,Italy,🇮🇹,"Via Vicarello 1, 58044 Poggi del Sasso GR",42.882969,11.307994,ChIJLyjf5x1JLxMRzT_1pd_C1Bc,,,,https://www.google.com/maps/place/?q=place_id:ChIJLyjf5x1JLxMRzT_1pd_C1Bc,,
,hotel_386,Sextantio,1,Santo Stefano di Sessanio,Italy,🇮🇹,"Via Principe Umberto, 67020 Santo Stefano di Sessanio AQ",42.34405,13.644329,ChIJp3-QYqQsMBMRLJTE5A2FzjE,,,,https://www.google.com/maps/place/?q=place_id:ChIJp3-QYqQsMBMRLJTE5A2FzjE,,
,hotel_387,Locanda Rossa,1,Capalbio,Italy,🇮🇹,"Strada Capalbio Pescia Fiorentina 11b, 58011 Capalbio GR",42.446099,11.457984,ChIJk5PCSYfwKBMRvoHQtWTO0dk,,,,https://www.google.com/maps/place/?q=place_id:ChIJk5PCSYfwKBMRvoHQtWTO0dk,,
,hotel_388,Villa le Prata - Residenza del Vescovo,1,Montalcino,Italy,🇮🇹,"Località Le Prata 261, 53024 Montalcino SI",43.041247,11.469391,ChIJESiXBzhxKRMRnxdclkc1kp0,,,,https://www.google.com/maps/place/?q=place_id:ChIJESiXBzhxKRMRnxdclkc1kp0,,
,hotel_389,Aethos Monterosa,1,Champoluc,Italy,🇮🇹,"SR45 16, 11020 Champoluc AO",45.846867,7.734036,ChIJHSp41Cq2iEcReixMm1d_M3M,,,,https://www.google.com/maps/place/?q=place_id:ChIJHSp41Cq2iEcReixMm1d_M3M,,
,hotel_390,Nolinski Venezia - Evok Collection,2,Venice,Italy,🇮🇹,"Calle Larga XXII Marzo 2032, 30124 Venezia VE",45.432971,12.334652,ChIJNVpZkhCxfkcR3TZVrSrb65E,,,,https://www.google.com/maps/place/?q=place_id:ChIJNVpZkhCxfkcR3TZVrSrb65E,,
,hotel_391,Palazzo Talia,1,Rome,Italy,🇮🇹,"Via del Nazareno 25, 00187 Roma RM",41.902896,12.483582,ChIJf_pW-5RhLxMR7wq31PS3AC0,,,,https://www.google.com/maps/place/?q=place_id:ChIJf_pW-5RhLxMR7wq31PS3AC0,,
,hotel_392,Villa Eden The Private Retreat,2,Merano,Italy,🇮🇹,"Via Winkel 68/70, 39012 Merano BZ",46.661288,11.177596,ChIJMwirqQ68gkcRTfJ3oHb2tEE,,,,https://www.google.com/maps/place/?q=place_id:ChIJMwirqQ68gkcRTfJ3oHb2tEE,,
,hotel_393,Monastero di Cortona,1,Cortona,Italy,🇮🇹,"Via del Salvatore, 52044 Cortona AR",43.276378,11.987074,ChIJOTpvNoL5KxMRfw-Z8Qqolo0,,,,https://www.google.com/maps/place/?q=place_id:ChIJOTpvNoL5KxMRfw-Z8Qqolo0,,
,hotel_394,La Monastica Resort & Spa,1,Buggiano Castello,Italy,🇮🇹,"Via Santa Scolastica, 51011 Buggiano Castello PT",43.887521,10.731147,ChIJHTkdN6l9KhMRvrTAlY9VK8A,,,,https://www.google.com/maps/place/?q=place_id:ChIJHTkdN6l9KhMRvrTAlY9VK8A,,
